Brew_ID,Name,City,State,
260,Ozark Beer Company,Rogers, AR,1
342,Palisade Brewing Company,Palisade, CO,1
442,Pateros Creek Brewing Company,Fort Collins, CO,1
308,Payette Brewing Company,Garden City, ID,1
469,Peace Tree Brewing Company,Knoxville, IA,1
267,Peak Organic Brewing Company,Portland, ME,1
188,Pedernales Brewing Company,Fredericksburg, TX,1
206,People's Brewing Company,Lafayette, IN,1
14,Perrin Brewing Company,Comstock Park, MI,1
471,Pete's Brewing Company,San Antonio, TX,1
12,Petoskey Brewing,Petoskey, MI,1
158,Phoenix Ale Brewery,Phoenix, AZ,1
356,Pikes Peak Brewing Company,Monument, CO,1
311,Pine Street Brewery,San Francisco, CA,1
315,Piney River Brewing Company,Bucryus, MO,1
53,Pipeworks Brewing Company,Chicago, IL,1
325,Pisgah Brewing Company,Black Mountain, NC,1
371,Pizza Port Brewing Company,Carlsbad, CA,1
148,Platform Beer Company,Cleveland, OH,1
56,Pollyanna Brewing Company,Lemont, IL,1
275,Portside Brewery,Cleveland, OH,1
549,Prescott Brewing Company,Prescott, AZ,1
136,Pug Ryan's Brewery,Dillon, CO,1
545,Pyramid Breweries,Seattle, WA,1
247,Quest Brewing Company,Greenville, SC,1
177,Rahr & Sons Brewing Company,Fort Worth, TX,1
129,Real Ale Brewing Company,Blanco, TX,1
476,Red Hare Brewing Company,Marietta, GA,1
69,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,1
404,Red Tank Cider Company,Bend, OR,1
488,Redhook Brewery,Woodinville, WA,1
422,Redstone Meadery,Boulder, CO,1
226,Refuge Brewery,Temecula, CA,1
111,Renegade Brewing Company,Denver, CO,1
387,Revolution Brewing,Paonia, CO,1
45,Revolution Brewing Company,Chicago, IL,1
94,Rhinegeist Brewery,Cincinnati, OH,1
163,Right Brain Brewery,Traverse City, MI,1
43,Rising Tide Brewing Company,Portland, ME,1
460,River North Brewery,Denver, CO,1
322,Rivertown Brewing Company,Lockland, OH,1
44,Rivertowne Brewing Company,Export, PA,1
428,Roanoke Railhouse Brewery,Roanoke, VA,1
230,Rochester Mills Brewing Company,Rochester, MI,1
290,Rogue Ales,Newport, OR,1
377,RoughTail Brewing Company,Midwest City, OK,1
165,Round Guys Brewing,Lansdale, PA,1
398,Ruhstaller Beer Company,Sacramento, CA,1
289,Saint Archer Brewery,San Diego, CA,1
420,Sanitas Brewing Company,Boulder, CO,1
253,Santa Cruz Mountain Brewing,Santa Cruz, CA,1
393,Santa Fe Brewing Company,Santa Fe, NM,1
31,SanTan Brewing Company,Chandler, AZ,1
399,Saugatuck Brewing Company,Douglas, MI,1
395,Schilling & Company,Seattle, WA,1
429,Schlafly Brewing Company,Saint Louis, MO,1
503,Sea Dog Brewing Company,Portland, ME,1
433,Seabright Brewery,Santa Cruz, CA,1
412,Seattle Cider Company,Seattle, WA,1
495,Seven Brides Brewery,Silverton, OR,1
184,Seventh Son Brewing Company,Columbus, OH,1
131,Shebeen Brewing Company,Wolcott, CT,1
512,Sherwood Forest Brewers,Marlborough, MA,1
386,Shipyard Brewing Company,Portland, ME,1
84,Sierra Nevada Brewing Company,Chico, CA,1
138,Sietsema Orchards and Cider Mill,Ada, MI,1
552,Silverton Brewery,Silverton, CO,1
47,Sixpoint Craft Ales,Brooklyn, NY,1
265,Ska Brewing Company,Durango, CO,1
314,Slanted Rock Brewing Company,Meridian, ID,1
65,SlapShot Brewing Company,Chicago, IL,1
558,Sleeping Lady Brewing Company,Anchorage, AK,1
116,Smartmouth Brewing Company,Norfolk, VA,1
192,Snake River Brewing Company,Jackson, WY,1
310,Sockeye Brewing Company,Boise, ID,1
258,South Austin Brewery,South Austin, TX,1
250,Southampton Publick House,Southampton, NY,1
437,Southern Oregon Brewing Company,Medford, OR,1
134,Southern Prohibition Brewing Com...,Hattiesburg, MS,1
119,Southern Star Brewing Company,Conroe, TX,1
79,Speakasy Ales & Lagers,San Francisco, CA,1
509,Spilker Ales,Cortland, NE,1
176,Spiteful Brewing Company,Chicago, IL,1
499,Sprecher Brewing Company,Glendale, WI,1
373,Spring House Brewing Company,Conestoga, PA,1
187,St. Julian Winery,Paw Paw, MI,1
384,Starr Hill Brewery,Crozet, VA,1
120,Steamworks Brewing Company,Durango, CO,1
132,Stevens Point Brewery,Stevens Point, WI,1
487,Stillmank Beer Company,Green Bay, WI,1
256,Stillwater Artisanal Ales,Baltimore, MD,1
493,Stone Coast Brewing Company,Portland, ME,1
413,Straight to Ale,Huntsville, AL,1
